21,2010,9151
21,2011,8802
21,2012,7811
21,2013,6598
21,2014,6144
21,2015,4995
21,2016,3970
21,2017,3128
39,2010,9667
39,2011,8700
39,2012,8009
39,2013,7969
39,2014,8332
39,2015,8534
39,2016,8761
39,2017,7658
42,2010,7123
42,2011,7740
42,2012,6423
42,2013,5214
42,2014,5646
42,2015,4968
42,2016,4252
42,2017,3915
51,2010,5721
51,2011,4957
51,2012,5629
51,2013,6583
51,2014,5317
51,2015,4608
51,2016,4455
51,2017,4053
54,2010,1940
54,2011,2261
54,2012,2148
54,2013,2161
54,2014,1684
54,2015,1258
54,2016,1109
54,2017,522
