,target,0,1,2,3,4,5,6,7,8,9
0,1,1.0,1.1,1.1,1.3,1.3,1.3,1.3,1.1,1.1,1.0
1,6,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
2,1,1.7,2.1,2.1,2.1,2.3,2.3,2.1,2.1,2.1,2.1
3,18,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
4,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
5,22,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8
6,1,26.4,26.4,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.4
7,4,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
8,26,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
9,5,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
10,86,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8
11,3,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7
12,27,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
13,2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
14,32,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8
15,7,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
16,33,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
17,1,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
18,6,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8
19,18,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
20,2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
21,3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
22,12,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
23,3,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
24,3,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1
25,16,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4
26,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
27,5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
28,57,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1,96.1
29,6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
30,93,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4
31,3,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
32,4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
33,70,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9
34,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
35,58,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2
36,2,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6
37,3,2.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
38,47,44.1,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9
39,3,6.8,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
40,37,43.9,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
41,7,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9
