,target,0,1,2,3,4,5,6,7,8,9
0,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
1,6,22.3,22.3,20.8,20.8,20.8,20.8,20.8,20.8,22.6,22.3
2,1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
3,18,11.3,11.7,10.3,10.3,10.3,10.3,10.3,10.3,11.1,11.3
4,2,1.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
5,22,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
6,1,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7
7,4,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
8,26,22.6,22.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,22.6
9,5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
10,86,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4
11,3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
12,27,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
13,2,2.5,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.5
14,32,19.2,19.2,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.2
15,7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
16,33,32.3,32.3,29.9,29.9,29.9,29.9,29.9,29.9,29.9,32.3
17,1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
18,6,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8
19,18,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3
20,2,2.6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
21,3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
22,12,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
23,3,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
24,3,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
25,16,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
26,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
27,5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
28,57,108.5,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9
29,6,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
30,93,91.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4
31,3,11.1,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
32,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
33,70,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7
34,3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
35,58,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9
36,2,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3
37,3,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
38,47,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
39,3,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
40,37,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8
41,7,17.7,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
42,1,1.4,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
