21,2010,629
21,2011,899
21,2012,2320
21,2013,4175
21,2014,4362
21,2015,4045
21,2016,3716
21,2017,3231
39,2010,9301
39,2011,11004
39,2012,14633
39,2013,18340
39,2014,20590
39,2015,23347
39,2016,20877
39,2017,15045
42,2010,12102
42,2011,11741
42,2012,13086
42,2013,14745
42,2014,18454
42,2015,18964
42,2016,17559
42,2017,13256
51,2010,2298
51,2011,1193
51,2012,1709
51,2013,4396
51,2014,3132
51,2015,3583
51,2016,4261
51,2017,3869
54,2010,902
54,2011,949
54,2012,1175
54,2013,1857
54,2014,1516
54,2015,1135
54,2016,1168
54,2017,751
