21,2010,673
21,2011,588
21,2012,591
21,2013,375
21,2014,575
21,2015,825
21,2016,1407
21,2017,3035
39,2010,739
39,2011,626
39,2012,503
39,2013,537
39,2014,1938
39,2015,5246
39,2016,12832
39,2017,23401
42,2010,589
42,2011,506
42,2012,450
42,2013,448
42,2014,804
42,2015,1718
42,2016,4353
42,2017,10723
51,2010,666
51,2011,599
51,2012,493
51,2013,696
51,2014,588
51,2015,619
51,2016,1479
51,2017,2526
54,2010,48
54,2011,61
54,2012,53
54,2013,28
54,2014,80
54,2015,178
54,2016,271
54,2017,341
