0.0,21,001,2010,1
0.0,21,001,2011,1
0.0,21,001,2012,2
0.0,21,003,2010,4
0.0,21,003,2012,5
0.0,21,003,2014,3
0.0,21,005,2010,2
0.0,21,005,2011,7
0.0,21,005,2013,1
0.0,21,005,2015,2
0.0,21,005,2016,3
0.0,21,005,2017,6
0.0,21,007,2016,1
0.0,21,009,2010,5
0.0,21,009,2011,6
0.0,21,009,2012,4
0.0,21,009,2013,3
0.0,21,009,2014,3
0.0,21,009,2015,3
0.0,21,009,2017,4
0.0,21,011,2010,1
0.0,21,011,2011,4
0.0,21,011,2012,3
0.0,21,011,2013,1
0.0,21,011,2015,5
0.0,21,011,2016,3
0.0,21,011,2017,6
0.0,21,013,2010,10
0.0,21,013,2011,8
0.0,21,013,2012,6
0.0,21,013,2013,6
0.0,21,013,2014,8
0.0,21,013,2015,11
0.0,21,013,2016,6
0.0,21,013,2017,4
0.0,21,015,2010,7
0.0,21,015,2011,10
0.0,21,015,2012,3
0.0,21,015,2013,2
0.0,21,015,2014,20
0.0,21,015,2015,80
0.0,21,015,2016,77
0.0,21,015,2017,129
0.0,21,017,2010,2
0.0,21,017,2011,2
0.0,21,017,2013,1
0.0,21,017,2015,1
0.0,21,017,2016,2
0.0,21,017,2017,6
0.0,21,019,2010,7
0.0,21,019,2011,7
0.0,21,019,2012,7
0.0,21,019,2013,7
0.0,21,019,2014,11
0.0,21,019,2015,10
0.0,21,019,2016,15
0.0,21,019,2017,65
0.0,21,021,2010,1
0.0,21,021,2011,1
0.0,21,021,2012,4
0.0,21,021,2013,1
0.0,21,021,2014,7
0.0,21,021,2015,6
0.0,21,021,2016,18
0.0,21,021,2017,51
0.0,21,023,2011,1
0.0,21,023,2012,2
0.0,21,023,2013,2
0.0,21,023,2014,1
0.0,21,023,2015,4
0.0,21,023,2016,5
0.0,21,025,2010,13
0.0,21,025,2011,6
0.0,21,025,2012,13
0.0,21,025,2013,14
0.0,21,025,2014,2
0.0,21,025,2015,5
0.0,21,025,2016,1
0.0,21,025,2017,3
0.0,21,027,2011,1
0.0,21,027,2012,1
0.0,21,027,2017,1
0.0,21,029,2010,9
0.0,21,029,2011,12
0.0,21,029,2012,1
0.0,21,029,2013,5
0.0,21,029,2014,4
0.0,21,029,2015,5
0.0,21,029,2016,12
0.0,21,029,2017,31
0.0,21,031,2010,1
0.0,21,031,2014,1
0.0,21,031,2016,4
0.0,21,033,2011,1
0.0,21,033,2014,1
0.0,21,033,2016,1
0.0,21,033,2017,1
0.0,21,035,2011,1
0.0,21,035,2013,1
0.0,21,035,2015,1
0.0,21,035,2016,1
0.0,21,035,2017,5
0.0,21,037,2010,27
0.0,21,037,2011,22
0.0,21,037,2012,14
0.0,21,037,2013,11
0.0,21,037,2014,61
0.0,21,037,2015,92
0.0,21,037,2016,114
0.0,21,037,2017,226
0.0,21,039,2010,2
0.0,21,041,2010,3
0.0,21,041,2011,3
0.0,21,041,2012,2
0.0,21,041,2014,6
0.0,21,041,2015,9
0.0,21,041,2016,8
0.0,21,041,2017,19
0.0,21,043,2010,3
0.0,21,043,2011,2
0.0,21,043,2012,3
0.0,21,043,2013,2
0.0,21,043,2014,4
0.0,21,043,2015,5
0.0,21,043,2016,9
0.0,21,043,2017,32
0.0,21,045,2010,3
0.0,21,045,2011,3
0.0,21,045,2012,2
0.0,21,045,2013,4
0.0,21,045,2015,1
0.0,21,045,2016,1
0.0,21,047,2010,1
0.0,21,047,2014,1
0.0,21,047,2016,8
0.0,21,049,2010,8
0.0,21,049,2011,2
0.0,21,049,2012,2
0.0,21,049,2013,1
0.0,21,049,2014,3
0.0,21,049,2015,9
0.0,21,049,2016,11
0.0,21,049,2017,20
0.0,21,051,2010,5
0.0,21,051,2011,7
0.0,21,051,2013,4
0.0,21,051,2014,6
0.0,21,051,2015,5
0.0,21,051,2016,1
0.0,21,053,2012,2
0.0,21,053,2013,1
0.0,21,053,2014,4
0.0,21,053,2015,2
0.0,21,053,2017,1
0.0,21,055,2010,2
0.0,21,055,2015,1
0.0,21,057,2014,1
0.0,21,057,2015,2
0.0,21,057,2016,4
0.0,21,059,2010,1
0.0,21,059,2011,3
0.0,21,059,2013,1
0.0,21,059,2014,3
0.0,21,059,2015,2
0.0,21,059,2016,5
0.0,21,059,2017,3
0.0,21,061,2010,1
0.0,21,061,2011,2
0.0,21,061,2013,2
0.0,21,061,2014,1
