,target,0,1,2,3,4,5,6,7,8,9
0,1.2,1.2,1.2,1.3,1.8,1.1,1.0,2.9,1.5,1.2,1.0
1,16.0,23.6,8.2,30.6,14.3,9.8,5.6,12.5,20.9,27.1,33.4
2,1.9,1.6,1.6,1.3,1.4,1.2,1.2,2.8,1.3,1.2,1.0
3,18.0,19.3,18.6,17.2,17.9,15.6,12.2,13.7,25.1,16.0,24.4
4,2.3,2.1,2.8,1.8,1.8,1.9,1.9,1.8,1.7,2.3,1.8
5,19.5,19.1,18.0,16.4,21.2,23.3,15.0,20.5,19.8,19.4,20.7
6,1.2,1.0,4.8,1.6,3.7,1.1,3.4,4.6,2.0,1.5,1.7
7,3.8,4.7,3.6,4.0,3.6,3.7,3.8,3.6,3.6,3.8,3.7
8,28.0,24.5,24.6,22.9,22.9,25.8,29.5,33.7,25.5,27.9,25.2
9,3.1,5.1,4.5,4.1,3.6,4.4,4.1,3.7,3.9,3.9,4.0
10,71.0,64.6,65.6,62.1,61.0,63.9,56.9,81.9,64.9,73.1,70.3
11,3.0,3.2,4.0,3.3,2.9,3.3,3.4,2.4,3.7,2.7,2.7
12,22.0,21.3,20.3,22.9,34.8,21.6,15.8,55.9,26.0,25.0,31.2
13,2.8,3.1,3.1,2.3,2.1,2.4,2.0,2.3,3.7,2.3,3.7
14,25.8,32.0,27.2,26.0,31.7,31.4,33.6,32.2,32.0,27.9,29.8
15,6.6,5.3,4.4,5.5,4.7,6.2,6.0,5.3,5.9,6.1,6.7
16,26.0,30.7,27.9,23.2,37.0,42.3,45.4,34.2,32.5,28.1,22.9
17,1.0,1.5,2.9,1.5,1.7,1.8,2.3,1.3,3.0,1.4,3.9
18,14.0,9.4,9.7,12.8,17.8,8.1,6.1,9.9,8.5,24.7,9.6
19,16.7,13.3,15.6,17.1,15.9,18.4,15.7,17.2,12.9,15.8,14.0
20,2.2,6.7,2.1,2.1,2.2,2.2,3.0,3.0,2.1,3.0,2.7
21,12.3,11.4,3.5,13.2,6.9,7.4,5.9,3.6,3.5,8.1,3.4
22,10.3,12.2,11.6,19.2,12.9,10.6,12.2,13.6,11.5,11.5,9.1
23,3.6,3.5,3.3,2.7,5.0,5.9,3.8,4.5,2.3,4.0,3.8
24,3.8,16.4,9.5,20.7,8.1,19.5,19.8,20.7,9.7,9.8,4.8
25,14.1,16.0,13.5,23.8,16.8,21.4,15.6,16.8,15.2,18.0,25.8
26,1.8,1.5,2.3,1.5,4.1,1.8,1.1,1.3,2.4,1.2,1.8
27,7.6,6.0,8.6,5.4,4.9,7.5,8.0,7.0,4.9,5.1,5.9
28,53.1,89.1,63.5,101.0,84.1,80.9,123.9,59.8,78.8,47.9,68.4
29,4.8,7.3,5.3,5.0,5.5,6.3,5.7,7.0,6.2,5.9,5.5
30,59.3,105.4,78.9,76.8,83.2,98.8,84.9,80.2,75.3,89.4,77.1
31,11.6,4.2,14.6,3.0,5.6,3.1,3.4,15.6,2.9,5.4,3.4
32,5.6,3.7,5.3,6.8,4.0,4.6,4.8,5.6,4.1,3.8,5.2
33,58.7,98.8,79.0,89.0,58.9,82.6,53.8,73.4,66.7,61.7,90.8
34,3.5,3.3,5.7,5.2,5.5,4.1,4.8,3.7,3.1,4.1,4.2
35,92.1,54.3,68.6,62.0,51.2,65.6,53.3,55.6,60.0,61.6,84.0
36,2.3,6.2,2.1,1.9,3.1,2.8,5.6,1.9,4.3,2.0,2.1
37,2.9,3.4,3.1,3.4,3.0,3.8,3.2,3.8,3.6,4.1,4.6
38,46.0,43.3,56.5,45.0,46.0,48.7,55.1,44.8,41.0,57.9,54.9
39,3.0,5.5,4.1,5.6,4.2,15.0,4.0,4.6,4.4,3.0,5.3
40,37.0,45.1,35.3,30.9,38.8,41.2,41.3,37.3,38.3,39.3,52.9
41,12.3,11.9,6.7,9.5,9.8,12.5,6.1,5.2,7.8,15.2,10.2
42,3.6,1.0,1.5,2.8,6.7,7.1,1.5,1.1,1.3,3.6,2.5
43,66.2,70.0,46.2,59.8,49.5,53.6,47.9,51.4,77.7,63.5,50.1
44,3.6,3.7,4.4,3.9,3.7,3.9,3.2,3.2,3.2,3.3,3.8
45,46.7,49.1,52.8,50.6,49.9,54.1,45.9,55.6,50.4,49.3,54.4
46,2.7,3.5,3.8,3.1,2.1,3.4,2.8,2.1,3.2,4.6,2.8
47,39.0,44.7,37.0,42.1,41.5,48.0,43.0,35.0,39.1,43.2,65.3
48,4.5,3.4,11.0,3.6,8.8,7.4,6.0,3.7,4.8,5.9,3.8
49,2.0,1.9,3.2,3.0,1.7,1.8,2.4,1.5,1.4,2.2,1.5
50,32.3,40.1,38.6,37.0,39.5,37.8,37.0,27.4,34.0,35.0,38.2
51,4.2,3.0,4.3,3.5,4.0,3.9,3.8,4.2,2.7,3.0,3.4
52,44.7,42.7,48.4,33.3,43.8,59.3,42.7,58.7,43.5,37.7,59.5
53,17.3,4.3,4.8,16.5,9.7,6.6,10.1,10.3,10.5,4.3,6.4
54,2.4,2.8,2.3,2.7,2.5,3.1,3.4,3.2,2.4,2.6,2.6
55,13.0,14.9,14.5,8.9,13.4,21.4,13.4,10.9,13.7,25.1,14.4
56,6.6,5.6,6.9,18.2,9.8,5.5,8.4,9.3,6.3,6.2,6.4
57,9.1,9.9,9.0,8.5,8.5,10.1,10.3,11.0,10.2,9.9,9.6
58,180.0,221.0,207.4,230.1,211.6,199.9,228.3,226.4,222.7,216.2,245.9
59,40.9,5.4,2.9,45.4,1.6,16.9,2.1,2.3,17.2,4.7,2.8
60,8.2,8.0,8.3,7.6,8.2,8.4,8.6,7.5,7.6,7.3,8.5
61,150.6,163.7,162.8,163.2,106.3,148.0,145.9,266.8,123.1,132.9,154.6
